simulation,generation,rho,alpha
3,100,0.078125,0.2222222222222222
3,101,0.09375,0.2222222222222222
3,102,0.078125,0.2222222222222222
3,103,0.09375,0.2222222222222222
3,104,0.09375,0.2222222222222222
3,105,0.046875,0.2222222222222222
3,106,0.015625,0.2222222222222222
3,107,0.015625,0.2222222222222222
3,108,0.03125,0.2222222222222222
3,109,0.0625,0.2222222222222222
3,110,0.046875,0.2222222222222222
3,111,0.046875,0.2222222222222222
3,112,0.046875,0.2222222222222222
3,113,0.03125,0.2222222222222222
3,114,0.046875,0.2222222222222222
3,115,0.0625,0.2222222222222222
3,116,0.09375,0.2222222222222222
3,117,0.125,0.2222222222222222
3,118,0.15625,0.2222222222222222
3,119,0.203125,0.2222222222222222
3,120,0.171875,0.2222222222222222
3,121,0.21875,0.2222222222222222
3,122,0.171875,0.2222222222222222
3,123,0.125,0.2222222222222222
3,124,0.1875,0.2222222222222222
3,125,0.25,0.2222222222222222
3,126,0.265625,0.2222222222222222
3,127,0.234375,0.2222222222222222
3,128,0.265625,0.2222222222222222
3,129,0.296875,0.2222222222222222
3,130,0.328125,0.2222222222222222
3,131,0.21875,0.2222222222222222
3,132,0.21875,0.2222222222222222
3,133,0.1875,0.2222222222222222
3,134,0.15625,0.2222222222222222
3,135,0.09375,0.2222222222222222
3,136,0.078125,0.2222222222222222
3,137,0.078125,0.2222222222222222
3,138,0.15625,0.2222222222222222
3,139,0.109375,0.2222222222222222
3,140,0.0625,0.2222222222222222
3,141,0.046875,0.2222222222222222
3,142,0.03125,0.2222222222222222
3,143,0.03125,0.2222222222222222
3,144,0.03125,0.2222222222222222
3,145,0.046875,0.2222222222222222
3,146,0.046875,0.2222222222222222
3,147,0.03125,0.2222222222222222
3,148,0.0,0.2222222222222222
4,0,1,0.2222222222222222
4,1,0.75,0.2222222222222222
4,2,0.546875,0.2222222222222222
4,3,0.46875,0.2222222222222222
4,4,0.375,0.2222222222222222
4,5,0.3125,0.2222222222222222
4,6,0.390625,0.2222222222222222
4,7,0.359375,0.2222222222222222
4,8,0.296875,0.2222222222222222
4,9,0.46875,0.2222222222222222
4,10,0.453125,0.2222222222222222
4,11,0.296875,0.2222222222222222
4,12,0.3125,0.2222222222222222
4,13,0.34375,0.2222222222222222
4,14,0.359375,0.2222222222222222
4,15,0.34375,0.2222222222222222
4,16,0.28125,0.2222222222222222
4,17,0.21875,0.2222222222222222
4,18,0.265625,0.2222222222222222
4,19,0.265625,0.2222222222222222
4,20,0.203125,0.2222222222222222
4,21,0.28125,0.2222222222222222
4,22,0.3125,0.2222222222222222
4,23,0.21875,0.2222222222222222
4,24,0.21875,0.2222222222222222
4,25,0.203125,0.2222222222222222
4,26,0.203125,0.2222222222222222
4,27,0.125,0.2222222222222222
4,28,0.125,0.2222222222222222
4,29,0.078125,0.2222222222222222
4,30,0.09375,0.2222222222222222
4,31,0.046875,0.2222222222222222
4,32,0.03125,0.2222222222222222
4,33,0.015625,0.2222222222222222
4,34,0.015625,0.2222222222222222
4,35,0.0,0.2222222222222222
5,0,1,0.2222222222222222
5,1,0.734375,0.2222222222222222
5,2,0.640625,0.2222222222222222
5,3,0.5,0.2222222222222222
5,4,0.5,0.2222222222222222
5,5,0.46875,0.2222222222222222
5,6,0.421875,0.2222222222222222
5,7,0.359375,0.2222222222222222
5,8,0.25,0.2222222222222222
5,9,0.25,0.2222222222222222
5,10,0.265625,0.2222222222222222
5,11,0.28125,0.2222222222222222
5,12,0.15625,0.2222222222222222
5,13,0.171875,0.2222222222222222
5,14,0.1875,0.2222222222222222
5,15,0.15625,0.2222222222222222
5,16,0.203125,0.2222222222222222
5,17,0.1875,0.2222222222222222
5,18,0.21875,0.2222222222222222
5,19,0.171875,0.2222222222222222
5,20,0.109375,0.2222222222222222
5,21,0.15625,0.2222222222222222
5,22,0.140625,0.2222222222222222
5,23,0.078125,0.2222222222222222
5,24,0.140625,0.2222222222222222
5,25,0.171875,0.2222222222222222
5,26,0.15625,0.2222222222222222
5,27,0.234375,0.2222222222222222
5,28,0.171875,0.2222222222222222
5,29,0.21875,0.2222222222222222
5,30,0.25,0.2222222222222222
5,31,0.265625,0.2222222222222222
5,32,0.203125,0.2222222222222222
5,33,0.25,0.2222222222222222
5,34,0.203125,0.2222222222222222
5,35,0.28125,0.2222222222222222
5,36,0.296875,0.2222222222222222
5,37,0.15625,0.2222222222222222
5,38,0.109375,0.2222222222222222
5,39,0.171875,0.2222222222222222
5,40,0.15625,0.2222222222222222
5,41,0.109375,0.2222222222222222
5,42,0.125,0.2222222222222222
5,43,0.15625,0.2222222222222222
5,44,0.15625,0.2222222222222222
5,45,0.078125,0.2222222222222222
5,46,0.078125,0.2222222222222222
5,47,0.0625,0.2222222222222222
5,48,0.125,0.2222222222222222
5,49,0.15625,0.2222222222222222
5,50,0.109375,0.2222222222222222
5,51,0.109375,0.2222222222222222
5,52,0.09375,0.2222222222222222
5,53,0.0625,0.2222222222222222
5,54,0.015625,0.2222222222222222
5,55,0.0,0.2222222222222222
6,0,1,0.2222222222222222
6,1,0.75,0.2222222222222222
6,2,0.578125,0.2222222222222222
6,3,0.375,0.2222222222222222
6,4,0.28125,0.2222222222222222
6,5,0.1875,0.2222222222222222
6,6,0.21875,0.2222222222222222
6,7,0.234375,0.2222222222222222
6,8,0.28125,0.2222222222222222
6,9,0.21875,0.2222222222222222
