simulation,generation,rho,delta,sigma/pext,alpha
1,98,0.3472,0.25,0,0,0.4444444444444444
1,99,0.3472,0.25,0,0,0.4444444444444444
1,100,0.3608,0.25,0,0,0.4444444444444444
1,0,1,0.25,0,0,0.5555555555555556
1,1,0.7144,0.25,0,0,0.5555555555555556
1,2,0.5952,0.25,0,0,0.5555555555555556
1,3,0.5276,0.25,0,0,0.5555555555555556
1,4,0.4928,0.25,0,0,0.5555555555555556
1,5,0.4672,0.25,0,0,0.5555555555555556
1,6,0.4276,0.25,0,0,0.5555555555555556
1,7,0.4212,0.25,0,0,0.5555555555555556
1,8,0.396,0.25,0,0,0.5555555555555556
1,9,0.3896,0.25,0,0,0.5555555555555556
1,10,0.3816,0.25,0,0,0.5555555555555556
1,11,0.3752,0.25,0,0,0.5555555555555556
1,12,0.3632,0.25,0,0,0.5555555555555556
1,13,0.3688,0.25,0,0,0.5555555555555556
1,14,0.364,0.25,0,0,0.5555555555555556
1,15,0.3584,0.25,0,0,0.5555555555555556
1,16,0.35,0.25,0,0,0.5555555555555556
1,17,0.3432,0.25,0,0,0.5555555555555556
1,18,0.342,0.25,0,0,0.5555555555555556
1,19,0.3332,0.25,0,0,0.5555555555555556
1,20,0.3412,0.25,0,0,0.5555555555555556
1,21,0.3492,0.25,0,0,0.5555555555555556
1,22,0.34,0.25,0,0,0.5555555555555556
1,23,0.3288,0.25,0,0,0.5555555555555556
1,24,0.3236,0.25,0,0,0.5555555555555556
1,25,0.3308,0.25,0,0,0.5555555555555556
1,26,0.33,0.25,0,0,0.5555555555555556
1,27,0.3268,0.25,0,0,0.5555555555555556
1,28,0.3244,0.25,0,0,0.5555555555555556
1,29,0.3376,0.25,0,0,0.5555555555555556
1,30,0.348,0.25,0,0,0.5555555555555556
1,31,0.3636,0.25,0,0,0.5555555555555556
1,32,0.3564,0.25,0,0,0.5555555555555556
1,33,0.3544,0.25,0,0,0.5555555555555556
1,34,0.3372,0.25,0,0,0.5555555555555556
1,35,0.3536,0.25,0,0,0.5555555555555556
1,36,0.3372,0.25,0,0,0.5555555555555556
1,37,0.3384,0.25,0,0,0.5555555555555556
1,38,0.3436,0.25,0,0,0.5555555555555556
1,39,0.372,0.25,0,0,0.5555555555555556
1,40,0.3548,0.25,0,0,0.5555555555555556
1,41,0.352,0.25,0,0,0.5555555555555556
1,42,0.3372,0.25,0,0,0.5555555555555556
1,43,0.3384,0.25,0,0,0.5555555555555556
1,44,0.3372,0.25,0,0,0.5555555555555556
1,45,0.334,0.25,0,0,0.5555555555555556
1,46,0.3276,0.25,0,0,0.5555555555555556
1,47,0.3204,0.25,0,0,0.5555555555555556
1,48,0.3332,0.25,0,0,0.5555555555555556
1,49,0.3288,0.25,0,0,0.5555555555555556
1,50,0.3344,0.25,0,0,0.5555555555555556
1,51,0.3396,0.25,0,0,0.5555555555555556
